Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Obi Toppin,PF,22,NYK,33,0,12.0,1.8,3.7,.479,0.4,1.4,.304,1.3,2.3,.587,.537,0.3,0.5,.733,0.5,1.8,2.3,0.5,0.2,0.3,0.6,1.0,4.3
Juan Toscano-Anderson,SG,27,GSW,29,13,19.1,2.0,3.7,.528,0.6,1.6,.400,1.3,2.2,.619,.611,0.4,0.6,.722,0.6,3.5,4.1,2.3,0.6,0.5,1.1,2.0,5.0
Karl-Anthony Towns,C,25,MIN,23,23,33.6,8.4,16.8,.501,2.2,5.6,.388,6.3,11.2,.558,.566,4.5,5.3,.860,2.6,7.7,10.2,4.0,0.9,1.6,3.3,3.5,23.6
Gary Trent Jr.,SG,22,POR,40,23,30.9,5.4,12.9,.414,3.0,7.5,.393,2.4,5.4,.442,.528,1.4,1.8,.767,0.5,1.7,2.3,1.5,0.9,0.2,0.8,1.6,15.1
P.J. Tucker,PF,35,TOT,34,32,28.9,1.4,3.9,.364,0.8,2.6,.310,0.6,1.3,.467,.466,0.5,0.7,.783,1.0,3.4,4.4,1.4,0.9,0.6,1.0,2.7,4.1
P.J. Tucker,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
Myles Turner,C,24,IND,39,39,30.8,4.6,9.5,.485,1.5,4.4,.329,3.1,5.0,.622,.562,2.5,3.2,.784,1.4,5.1,6.5,1.0,0.9,3.4,1.4,3.5,13.2
Jonas Valančiūnas,C,28,MEM,35,34,27.7,6.5,11.5,.559,0.3,1.0,.324,6.1,10.6,.581,.573,2.6,3.5,.742,3.8,8.5,12.3,1.8,0.6,0.7,1.9,3.0,15.9
Jarred Vanderbilt,PF,21,MIN,41,23,18.3,2.3,3.8,.610,0.0,0.0,.500,2.3,3.7,.612,.614,1.0,1.8,.583,1.7,3.9,5.6,1.4,1.0,0.7,1.0,2.0,5.6
Fred VanVleet,SG,26,TOR,38,38,36.9,6.6,16.7,.396,3.3,8.9,.372,3.3,7.8,.424,.495,3.6,3.9,.900,0.7,3.7,4.4,6.5,1.8,0.8,2.0,2.5,20.1
Devin Vassell,SF,20,SAS,33,1,17.2,1.9,4.6,.408,1.0,2.4,.405,0.9,2.2,.411,.513,0.6,0.8,.840,0.5,2.6,3.2,1.1,1.0,0.3,0.5,1.4,5.4
Gabe Vincent,PG,24,MIA,28,5,14.4,2.1,5.5,.383,1.0,3.4,.281,1.1,2.1,.552,.471,0.7,0.8,.905,0.1,1.0,1.1,1.3,0.5,0.1,0.8,1.8,5.9
Nikola Vučević,C,30,ORL,42,42,34.1,9.9,20.6,.483,2.7,6.5,.407,7.3,14.0,.518,.547,2.1,2.5,.832,2.0,9.8,11.8,3.8,1.0,0.6,1.9,1.8,24.6
Moritz Wagner,C,23,WAS,24,13,14.7,2.5,4.9,.500,0.5,1.7,.300,2.0,3.3,.603,.551,1.5,2.0,.771,0.5,2.5,3.0,1.2,0.9,0.3,0.8,2.4,7.0
Kemba Walker,PG,30,BOS,25,25,30.5,6.0,15.4,.390,2.8,7.9,.355,3.2,7.5,.426,.481,2.9,3.1,.923,0.3,3.3,3.6,4.6,1.1,0.3,2.1,1.3,17.7
Lonnie Walker,SG,22,SAS,37,30,26.2,4.4,10.4,.425,1.7,4.8,.356,2.7,5.6,.483,.506,1.0,1.2,.783,0.2,2.5,2.8,1.6,0.5,0.4,1.0,2.0,11.5
John Wall,PG,30,HOU,28,28,31.9,7.5,18.1,.414,2.0,6.0,.325,5.5,12.1,.459,.468,4.1,5.5,.742,0.5,3.0,3.5,6.3,0.9,0.7,3.4,1.3,21.1
Brad Wanamaker,PG,31,GSW,39,0,16.0,1.6,4.4,.353,0.3,1.6,.213,1.2,2.9,.429,.390,1.3,1.4,.893,0.2,1.5,1.7,2.5,0.7,0.2,0.9,1.4,4.7
T.J. Warren,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
Yuta Watanabe,SF,26,TOR,26,1,11.6,0.8,2.6,.313,0.5,1.3,.371,0.3,1.2,.250,.410,0.3,0.4,.900,0.8,2.2,3.0,0.5,0.4,0.5,0.3,0.9,2.5
Tremont Waters,PG,23,BOS,11,1,8.9,0.9,2.8,.323,0.5,1.4,.400,0.4,1.5,.250,.419,0.6,0.7,.875,0.2,0.5,0.7,2.7,0.5,0.0,1.2,0.5,3.0
Paul Watson,SF,26,TOR,23,0,9.3,0.9,2.1,.438,0.7,1.6,.432,0.2,0.5,.455,.604,0.1,0.2,.500,0.1,1.1,1.3,0.4,0.2,0.1,0.3,1.2,2.6
Quinndary Weatherspoon,SG,24,SAS,8,0,4.9,0.3,0.9,.286,0.0,0.1,.000,0.3,0.8,.333,.286,0.3,0.3,1.000,0.0,0.4,0.4,0.5,0.5,0.1,0.9,0.9,0.8
Russell Westbrook,PG,32,WAS,34,34,34.9,8.4,18.9,.443,1.3,4.1,.319,7.1,14.8,.477,.477,3.9,6.4,.606,1.6,8.1,9.7,10.2,1.3,0.3,4.9,2.8,22.0
Derrick White,SG,26,SAS,16,12,26.7,4.3,11.0,.386,1.9,5.8,.326,2.4,5.3,.452,.472,2.4,2.8,.864,0.2,2.3,2.4,3.4,0.7,1.1,1.5,2.6,12.8
Hassan Whiteside,C,31,SAC,27,1,14.7,3.4,6.2,.551,0.0,0.0,.000,3.4,6.1,.554,.551,1.2,2.3,.524,1.7,4.1,5.8,0.6,0.2,1.4,1.1,1.9,8.0
Greg Whittington,PF,27,DEN,4,0,3.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,PF,25,GSW,43,43,32.2,6.7,14.2,.470,1.9,5.1,.379,4.7,9.1,.522,.539,2.5,3.6,.695,1.1,3.6,4.7,2.1,1.0,1.0,1.9,2.2,17.8
Grant Williams,PF,22,BOS,35,6,18.2,1.8,4.0,.450,0.9,2.0,.423,0.9,2.0,.478,.557,0.5,1.0,.543,1.0,2.0,2.9,0.9,0.5,0.4,0.8,2.5,5.0
Kenrich Williams,PF,26,OKC,43,6,19.6,2.9,5.1,.573,0.6,1.4,.435,2.3,3.7,.627,.634,0.5,0.9,.541,1.3,2.8,4.1,1.8,0.7,0.2,1.0,1.7,7.0
Lou Williams,PG,34,LAC,41,3,22.0,4.3,10.2,.419,1.1,2.8,.383,3.2,7.4,.432,.471,2.4,2.8,.862,0.4,1.8,2.1,3.5,0.9,0.1,1.6,1.0,12.0
Robert Williams,C,23,BOS,36,0,17.1,3.4,4.7,.729,0.0,0.0,.000,3.4,4.7,.734,.729,0.9,1.4,.620,2.4,4.1,6.4,1.3,0.9,1.8,1.0,1.9,7.8
Zion Williamson,PF,20,NOP,40,40,32.8,9.9,16.0,.619,0.2,0.5,.350,9.7,15.5,.628,.625,5.8,8.2,.702,2.7,4.3,7.0,3.4,0.9,0.7,2.6,2.3,25.7
D.J. Wilson,PF,24,TOT,15,0,9.1,1.4,3.6,.389,0.8,2.1,.375,0.6,1.5,.409,.500,0.3,0.3,.800,0.2,1.9,2.1,0.2,0.1,0.3,0.3,1.2,3.9
D.J. Wilson,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
Justise Winslow,SF,24,MEM,13,0,21.3,3.4,9.4,.361,0.4,2.7,.143,3.0,6.7,.448,.381,0.6,1.1,.571,0.9,4.0,4.9,1.8,0.5,0.5,1.5,2.2,7.8
Cassius Winston,PG,22,WAS,8,0,6.4,0.6,1.5,.417,0.5,1.1,.444,0.1,0.4,.333,.583,0.3,0.3,1.000,0.0,0.6,0.6,1.0,0.0,0.1,0.1,0.5,2.0
James Wiseman,C,19,GSW,29,17,20.8,4.9,9.4,.526,0.4,1.0,.367,4.6,8.3,.545,.546,1.6,2.6,.613,1.5,4.5,6.0,0.6,0.3,1.0,1.5,3.2,11.8
Christian Wood,C,25,HOU,21,21,30.9,8.7,15.4,.562,1.8,4.4,.402,6.9,11.0,.625,.619,2.8,4.0,.682,1.6,8.2,9.8,1.4,0.9,1.5,2.0,2.0,21.9
Robert Woodard,SF,21,SAC,7,0,3.0,0.9,1.7,.500,0.1,0.6,.250,0.7,1.1,.625,.542,0.4,1.1,.375,0.4,0.7,1.1,0.0,0.0,0.0,0.1,0.1,2.3
Delon Wright,SG,28,DET,35,30,29.3,3.8,8.2,.465,0.9,2.5,.356,2.9,5.7,.513,.519,2.0,2.6,.789,1.1,3.5,4.6,5.1,1.5,0.5,1.3,1.3,10.5
Trae Young,PG,22,ATL,41,41,34.3,7.6,17.7,.431,2.5,6.8,.368,5.1,11.0,.470,.501,8.0,9.1,.872,0.7,3.3,4.1,9.4,0.8,0.2,4.2,1.9,25.7
Ivica Zubac,C,23,LAC,44,5,20.5,3.3,5.0,.665,0.0,0.0,.000,3.3,4.9,.671,.665,1.9,2.3,.824,2.5,4.5,7.0,1.1,0.4,0.8,1.0,2.4,8.5
